Geography,Financial Year,Budget Phase,Class,Service Name,Total
MAN,2015/16,Audited Outcome,Affordable Range,Electricity: Consumption,
MAN,2016/17,Audited Outcome,Affordable Range,Electricity: Consumption,
MAN,2017/18,Audited Outcome,Affordable Range,Electricity: Consumption,
MAN,2018/19,Original Budget,Affordable Range,Electricity: Consumption,453.68
MAN,2018/19,Adjusted Budget,Affordable Range,Electricity: Consumption,453.68
MAN,2019/20,Budget Year,Affordable Range,Electricity: Consumption,462.75
MAN,2020/21,Budget Year,Affordable Range,Electricity: Consumption,472.01
MAN,2021/22,Budget Year,Affordable Range,Electricity: Consumption,
MAN,2015/16,Audited Outcome,Affordable Range,Water: Basic levy,20.0
MAN,2016/17,Audited Outcome,Affordable Range,Water: Basic levy,22.0
MAN,2017/18,Audited Outcome,Affordable Range,Water: Basic levy,24.64
MAN,2018/19,Original Budget,Affordable Range,Water: Basic levy,27.6
MAN,2018/19,Adjusted Budget,Affordable Range,Water: Basic levy,27.6
MAN,2019/20,Budget Year,Affordable Range,Water: Basic levy,30.91
MAN,2020/21,Budget Year,Affordable Range,Water: Basic levy,33.93
MAN,2021/22,Budget Year,Affordable Range,Water: Basic levy,37.46
MAN,2015/16,Audited Outcome,Affordable Range,Water: Consumption,331.41
MAN,2016/17,Audited Outcome,Affordable Range,Water: Consumption,355.01
MAN,2017/18,Audited Outcome,Affordable Range,Water: Consumption,389.97
MAN,2018/19,Original Budget,Affordable Range,Water: Consumption,429.93
MAN,2018/19,Adjusted Budget,Affordable Range,Water: Consumption,429.93
MAN,2019/20,Budget Year,Affordable Range,Water: Consumption,473.94
MAN,2020/21,Budget Year,Affordable Range,Water: Consumption,520.36
MAN,2021/22,Budget Year,Affordable Range,Water: Consumption,574.5
MAN,2015/16,Audited Outcome,Affordable Range,Sanitation,106.29
MAN,2016/17,Audited Outcome,Affordable Range,Sanitation,114.79
MAN,2017/18,Audited Outcome,Affordable Range,Sanitation,121.96
MAN,2018/19,Original Budget,Affordable Range,Sanitation,131.71
MAN,2018/19,Adjusted Budget,Affordable Range,Sanitation,131.71
MAN,2019/20,Budget Year,Affordable Range,Sanitation,142.63
MAN,2020/21,Budget Year,Affordable Range,Sanitation,152.88
MAN,2021/22,Budget Year,Affordable Range,Sanitation,165.08
MAN,2015/16,Audited Outcome,Affordable Range,Refuse removal,85.34
MAN,2016/17,Audited Outcome,Affordable Range,Refuse removal,92.0
MAN,2017/18,Audited Outcome,Affordable Range,Refuse removal,100.0
MAN,2018/19,Original Budget,Affordable Range,Refuse removal,109.3
MAN,2018/19,Adjusted Budget,Affordable Range,Refuse removal,109.3
MAN,2019/20,Budget Year,Affordable Range,Refuse removal,120.01
MAN,2020/21,Budget Year,Affordable Range,Refuse removal,130.21
MAN,2021/22,Budget Year,Affordable Range,Refuse removal,141.8
MAN,2015/16,Audited Outcome,Affordable Range,Other,
MAN,2016/17,Audited Outcome,Affordable Range,Other,
MAN,2017/18,Audited Outcome,Affordable Range,Other,
MAN,2018/19,Original Budget,Affordable Range,Other,
MAN,2018/19,Adjusted Budget,Affordable Range,Other,
MAN,2019/20,Budget Year,Affordable Range,Other,
MAN,2020/21,Budget Year,Affordable Range,Other,
MAN,2021/22,Budget Year,Affordable Range,Other,
MAN,2015/16,Audited Outcome,Indigent HH receiving FBS,Property rates,117.51
MAN,2016/17,Audited Outcome,Indigent HH receiving FBS,Property rates,126.92
MAN,2017/18,Audited Outcome,Indigent HH receiving FBS,Property rates,128.35
MAN,2018/19,Original Budget,Indigent HH receiving FBS,Property rates,137.34
MAN,2018/19,Adjusted Budget,Indigent HH receiving FBS,Property rates,137.34
MAN,2019/20,Budget Year,Indigent HH receiving FBS,Property rates,147.37
MAN,2020/21,Budget Year,Indigent HH receiving FBS,Property rates,158.42
MAN,2021/22,Budget Year,Indigent HH receiving FBS,Property rates,169.66
MAN,2015/16,Audited Outcome,Indigent HH receiving FBS,Electricity: Basic levy,
MAN,2016/17,Audited Outcome,Indigent HH receiving FBS,Electricity: Basic levy,
MAN,2017/18,Audited Outcome,Indigent HH receiving FBS,Electricity: Basic levy,
MAN,2018/19,Original Budget,Indigent HH receiving FBS,Electricity: Basic levy,
MAN,2018/19,Adjusted Budget,Indigent HH receiving FBS,Electricity: Basic levy,
MAN,2019/20,Budget Year,Indigent HH receiving FBS,Electricity: Basic levy,
MAN,2020/21,Budget Year,Indigent HH receiving FBS,Electricity: Basic levy,
MAN,2021/22,Budget Year,Indigent HH receiving FBS,Electricity: Basic levy,
MAN,2015/16,Audited Outcome,Indigent HH receiving FBS,Electricity: Consumption,
MAN,2016/17,Audited Outcome,Indigent HH receiving FBS,Electricity: Consumption,
MAN,2017/18,Audited Outcome,Indigent HH receiving FBS,Electricity: Consumption,
MAN,2018/19,Original Budget,Indigent HH receiving FBS,Electricity: Consumption,200.41
MAN,2018/19,Adjusted Budget,Indigent HH receiving FBS,Electricity: Consumption,200.41
MAN,2019/20,Budget Year,Indigent HH receiving FBS,Electricity: Consumption,204.42
MAN,2020/21,Budget Year,Indigent HH receiving FBS,Electricity: Consumption,208.51
MAN,2021/22,Budget Year,Indigent HH receiving FBS,Electricity: Consumption,
MAN,2015/16,Audited Outcome,Indigent HH receiving FBS,Water: Basic levy,20.0
MAN,2016/17,Audited Outcome,Indigent HH receiving FBS,Water: Basic levy,22.0
MAN,2017/18,Audited Outcome,Indigent HH receiving FBS,Water: Basic levy,24.64
MAN,2018/19,Original Budget,Indigent HH receiving FBS,Water: Basic levy,27.6
MAN,2018/19,Adjusted Budget,Indigent HH receiving FBS,Water: Basic levy,27.6
MAN,2019/20,Budget Year,Indigent HH receiving FBS,Water: Basic levy,30.91
MAN,2020/21,Budget Year,Indigent HH receiving FBS,Water: Basic levy,33.93
MAN,2021/22,Budget Year,Indigent HH receiving FBS,Water: Basic levy,37.46
MAN,2015/16,Audited Outcome,Indigent HH receiving FBS,Water: Consumption,252.36
MAN,2016/17,Audited Outcome,Indigent HH receiving FBS,Water: Consumption,241.51
MAN,2017/18,Audited Outcome,Indigent HH receiving FBS,Water: Consumption,295.62
MAN,2018/19,Original Budget,Indigent HH receiving FBS,Water: Consumption,325.68
MAN,2018/19,Adjusted Budget,Indigent HH receiving FBS,Water: Consumption,325.68
MAN,2019/20,Budget Year,Indigent HH receiving FBS,Water: Consumption,304.56
MAN,2020/21,Budget Year,Indigent HH receiving FBS,Water: Consumption,334.4
MAN,2021/22,Budget Year,Indigent HH receiving FBS,Water: Consumption,369.15
MAN,2015/16,Audited Outcome,Indigent HH receiving FBS,Sanitation,91.92
MAN,2016/17,Audited Outcome,Indigent HH receiving FBS,Sanitation,91.92
MAN,2017/18,Audited Outcome,Indigent HH receiving FBS,Sanitation,73.18
MAN,2018/19,Original Budget,Indigent HH receiving FBS,Sanitation,79.03
MAN,2018/19,Adjusted Budget,Indigent HH receiving FBS,Sanitation,79.03
MAN,2019/20,Budget Year,Indigent HH receiving FBS,Sanitation,113.92
MAN,2020/21,Budget Year,Indigent HH receiving FBS,Sanitation,123.03
MAN,2021/22,Budget Year,Indigent HH receiving FBS,Sanitation,132.87
MAN,2015/16,Audited Outcome,Indigent HH receiving FBS,Refuse removal,36.57
MAN,2016/17,Audited Outcome,Indigent HH receiving FBS,Refuse removal,39.42
MAN,2017/18,Audited Outcome,Indigent HH receiving FBS,Refuse removal,42.77
MAN,2018/19,Original Budget,Indigent HH receiving FBS,Refuse removal,46.62
MAN,2018/19,Adjusted Budget,Indigent HH receiving FBS,Refuse removal,46.62
MAN,2019/20,Budget Year,Indigent HH receiving FBS,Refuse removal,50.96
MAN,2020/21,Budget Year,Indigent HH receiving FBS,Refuse removal,55.04
MAN,2021/22,Budget Year,Indigent HH receiving FBS,Refuse removal,59.66
MAN,2015/16,Audited Outcome,Indigent HH receiving FBS,Other,
MAN,2016/17,Audited Outcome,Indigent HH receiving FBS,Other,
MAN,2017/18,Audited Outcome,Indigent HH receiving FBS,Other,
MAN,2018/19,Original Budget,Indigent HH receiving FBS,Other,
MAN,2018/19,Adjusted Budget,Indigent HH receiving FBS,Other,
MAN,2019/20,Budget Year,Indigent HH receiving FBS,Other,
MAN,2020/21,Budget Year,Indigent HH receiving FBS,Other,
MAN,2021/22,Budget Year,Indigent HH receiving FBS,Other,
FS161,2015/16,Audited Outcome,Middle Income Range,Property rates,
FS161,2016/17,Audited Outcome,Middle Income Range,Property rates,
FS161,2017/18,Audited Outcome,Middle Income Range,Property rates,770.96
FS161,2018/19,Original Budget,Middle Income Range,Property rates,813.37
FS161,2018/19,Adjusted Budget,Middle Income Range,Property rates,813.37
FS161,2019/20,Budget Year,Middle Income Range,Property rates,855.66
FS161,2020/21,Budget Year,Middle Income Range,Property rates,900.15
FS161,2021/22,Budget Year,Middle Income Range,Property rates,946.96
FS161,2015/16,Audited Outcome,Middle Income Range,Electricity: Basic levy,
FS161,2016/17,Audited Outcome,Middle Income Range,Electricity: Basic levy,
FS161,2017/18,Audited Outcome,Middle Income Range,Electricity: Basic levy,194.12
FS161,2018/19,Original Budget,Middle Income Range,Electricity: Basic levy,207.4
FS161,2018/19,Adjusted Budget,Middle Income Range,Electricity: Basic levy,207.4
FS161,2019/20,Budget Year,Middle Income Range,Electricity: Basic levy,218.18
FS161,2020/21,Budget Year,Middle Income Range,Electricity: Basic levy,229.53
FS161,2021/22,Budget Year,Middle Income Range,Electricity: Basic levy,241.46
FS161,2015/16,Audited Outcome,Middle Income Range,Electricity: Consumption,
FS161,2016/17,Audited Outcome,Middle Income Range,Electricity: Consumption,
FS161,2017/18,Audited Outcome,Middle Income Range,Electricity: Consumption,1432.0
FS161,2018/19,Original Budget,Middle Income Range,Electricity: Consumption,1529.95
FS161,2018/19,Adjusted Budget,Middle Income Range,Electricity: Consumption,1529.95
FS161,2019/20,Budget Year,Middle Income Range,Electricity: Consumption,1609.51
FS161,2020/21,Budget Year,Middle Income Range,Electricity: Consumption,1693.2
FS161,2021/22,Budget Year,Middle Income Range,Electricity: Consumption,1781.25
FS161,2015/16,Audited Outcome,Middle Income Range,Water: Basic levy,
FS161,2016/17,Audited Outcome,Middle Income Range,Water: Basic levy,
FS161,2017/18,Audited Outcome,Middle Income Range,Water: Basic levy,
FS161,2018/19,Original Budget,Middle Income Range,Water: Basic levy,
FS161,2018/19,Adjusted Budget,Middle Income Range,Water: Basic levy,
FS161,2019/20,Budget Year,Middle Income Range,Water: Basic levy,
FS161,2020/21,Budget Year,Middle Income Range,Water: Basic levy,
FS161,2021/22,Budget Year,Middle Income Range,Water: Basic levy,
FS161,2015/16,Audited Outcome,Middle Income Range,Water: Consumption,
FS161,2016/17,Audited Outcome,Middle Income Range,Water: Consumption,
FS161,2017/18,Audited Outcome,Middle Income Range,Water: Consumption,221.7
FS161,2018/19,Original Budget,Middle Income Range,Water: Consumption,233.89
FS161,2018/19,Adjusted Budget,Middle Income Range,Water: Consumption,233.89
FS161,2019/20,Budget Year,Middle Income Range,Water: Consumption,246.06
FS161,2020/21,Budget Year,Middle Income Range,Water: Consumption,258.85
FS161,2021/22,Budget Year,Middle Income Range,Water: Consumption,272.31
FS161,2015/16,Audited Outcome,Middle Income Range,Sanitation,
FS161,2016/17,Audited Outcome,Middle Income Range,Sanitation,
FS161,2017/18,Audited Outcome,Middle Income Range,Sanitation,102.9
FS161,2018/19,Original Budget,Middle Income Range,Sanitation,108.56
FS161,2018/19,Adjusted Budget,Middle Income Range,Sanitation,108.56
FS161,2019/20,Budget Year,Middle Income Range,Sanitation,114.2
FS161,2020/21,Budget Year,Middle Income Range,Sanitation,120.14
FS161,2021/22,Budget Year,Middle Income Range,Sanitation,126.39
FS161,2015/16,Audited Outcome,Middle Income Range,Refuse removal,
FS161,2016/17,Audited Outcome,Middle Income Range,Refuse removal,
FS161,2017/18,Audited Outcome,Middle Income Range,Refuse removal,98.58
FS161,2018/19,Original Budget,Middle Income Range,Refuse removal,104.0
FS161,2018/19,Adjusted Budget,Middle Income Range,Refuse removal,104.0
FS161,2019/20,Budget Year,Middle Income Range,Refuse removal,109.41
FS161,2020/21,Budget Year,Middle Income Range,Refuse removal,115.1
FS161,2021/22,Budget Year,Middle Income Range,Refuse removal,121.08
FS161,2015/16,Audited Outcome,Middle Income Range,Other,
FS161,2016/17,Audited Outcome,Middle Income Range,Other,
FS161,2017/18,Audited Outcome,Middle Income Range,Other,
FS161,2018/19,Original Budget,Middle Income Range,Other,
FS161,2018/19,Adjusted Budget,Middle Income Range,Other,
FS161,2019/20,Budget Year,Middle Income Range,Other,
FS161,2020/21,Budget Year,Middle Income Range,Other,
FS161,2021/22,Budget Year,Middle Income Range,Other,
FS161,2015/16,Audited Outcome,Affordable Range,Property rates,
FS161,2016/17,Audited Outcome,Affordable Range,Property rates,
FS161,2017/18,Audited Outcome,Affordable Range,Property rates,535.55
FS161,2018/19,Original Budget,Affordable Range,Property rates,565.01
FS161,2018/19,Adjusted Budget,Affordable Range,Property rates,565.01
FS161,2019/20,Budget Year,Affordable Range,Property rates,594.39
FS161,2020/21,Budget Year,Affordable Range,Property rates,625.3
FS161,2021/22,Budget Year,Affordable Range,Property rates,657.81
FS161,2015/16,Audited Outcome,Affordable Range,Electricity: Basic levy,
FS161,2016/17,Audited Outcome,Affordable Range,Electricity: Basic levy,
FS161,2017/18,Audited Outcome,Affordable Range,Electricity: Basic levy,194.12
FS161,2018/19,Original Budget,Affordable Range,Electricity: Basic levy,207.4
FS161,2018/19,Adjusted Budget,Affordable Range,Electricity: Basic levy,207.4
FS161,2019/20,Budget Year,Affordable Range,Electricity: Basic levy,218.18
FS161,2020/21,Budget Year,Affordable Range,Electricity: Basic levy,229.53
FS161,2021/22,Budget Year,Affordable Range,Electricity: Basic levy,241.46
FS161,2015/16,Audited Outcome,Affordable Range,Electricity: Consumption,
FS161,2016/17,Audited Outcome,Affordable Range,Electricity: Consumption,
FS161,2017/18,Audited Outcome,Affordable Range,Electricity: Consumption,577.0
FS161,2018/19,Original Budget,Affordable Range,Electricity: Consumption,616.47
FS161,2018/19,Adjusted Budget,Affordable Range,Electricity: Consumption,616.47
FS161,2019/20,Budget Year,Affordable Range,Electricity: Consumption,648.52
FS161,2020/21,Budget Year,Affordable Range,Electricity: Consumption,682.25
FS161,2021/22,Budget Year,Affordable Range,Electricity: Consumption,717.72
FS161,2015/16,Audited Outcome,Affordable Range,Water: Basic levy,
FS161,2016/17,Audited Outcome,Affordable Range,Water: Basic levy,
FS161,2017/18,Audited Outcome,Affordable Range,Water: Basic levy,
FS161,2018/19,Original Budget,Affordable Range,Water: Basic levy,
FS161,2018/19,Adjusted Budget,Affordable Range,Water: Basic levy,
FS161,2019/20,Budget Year,Affordable Range,Water: Basic levy,
FS161,2020/21,Budget Year,Affordable Range,Water: Basic levy,
FS161,2021/22,Budget Year,Affordable Range,Water: Basic levy,
FS161,2015/16,Audited Outcome,Affordable Range,Water: Consumption,
FS161,2016/17,Audited Outcome,Affordable Range,Water: Consumption,
FS161,2017/18,Audited Outcome,Affordable Range,Water: Consumption,184.75
FS161,2018/19,Original Budget,Affordable Range,Water: Consumption,194.91
FS161,2018/19,Adjusted Budget,Affordable Range,Water: Consumption,194.91
FS161,2019/20,Budget Year,Affordable Range,Water: Consumption,205.05
FS161,2020/21,Budget Year,Affordable Range,Water: Consumption,215.71
FS161,2021/22,Budget Year,Affordable Range,Water: Consumption,226.93
FS161,2015/16,Audited Outcome,Affordable Range,Sanitation,
FS161,2016/17,Audited Outcome,Affordable Range,Sanitation,
FS161,2017/18,Audited Outcome,Affordable Range,Sanitation,102.9
FS161,2018/19,Original Budget,Affordable Range,Sanitation,108.56
FS161,2018/19,Adjusted Budget,Affordable Range,Sanitation,108.56
FS161,2019/20,Budget Year,Affordable Range,Sanitation,114.2
FS161,2020/21,Budget Year,Affordable Range,Sanitation,120.14
FS161,2021/22,Budget Year,Affordable Range,Sanitation,126.39
FS161,2015/16,Audited Outcome,Affordable Range,Refuse removal,
FS161,2016/17,Audited Outcome,Affordable Range,Refuse removal,
FS161,2017/18,Audited Outcome,Affordable Range,Refuse removal,98.58
FS161,2018/19,Original Budget,Affordable Range,Refuse removal,104.0
FS161,2018/19,Adjusted Budget,Affordable Range,Refuse removal,104.0
FS161,2019/20,Budget Year,Affordable Range,Refuse removal,109.41
FS161,2020/21,Budget Year,Affordable Range,Refuse removal,115.1
FS161,2021/22,Budget Year,Affordable Range,Refuse removal,121.08
FS161,2015/16,Audited Outcome,Affordable Range,Other,
FS161,2016/17,Audited Outcome,Affordable Range,Other,
FS161,2017/18,Audited Outcome,Affordable Range,Other,
FS161,2018/19,Original Budget,Affordable Range,Other,
FS161,2018/19,Adjusted Budget,Affordable Range,Other,
FS161,2019/20,Budget Year,Affordable Range,Other,
FS161,2020/21,Budget Year,Affordable Range,Other,
FS161,2021/22,Budget Year,Affordable Range,Other,
FS161,2015/16,Audited Outcome,Indigent HH receiving FBS,Property rates,
FS161,2016/17,Audited Outcome,Indigent HH receiving FBS,Property rates,
FS161,2017/18,Audited Outcome,Indigent HH receiving FBS,Property rates,300.15
FS161,2018/19,Original Budget,Indigent HH receiving FBS,Property rates,316.65
FS161,2018/19,Adjusted Budget,Indigent HH receiving FBS,Property rates,316.65
FS161,2019/20,Budget Year,Indigent HH receiving FBS,Property rates,333.12
FS161,2020/21,Budget Year,Indigent HH receiving FBS,Property rates,350.44
FS161,2021/22,Budget Year,Indigent HH receiving FBS,Property rates,368.66
FS161,2015/16,Audited Outcome,Indigent HH receiving FBS,Electricity: Basic levy,
FS161,2016/17,Audited Outcome,Indigent HH receiving FBS,Electricity: Basic levy,
FS161,2017/18,Audited Outcome,Indigent HH receiving FBS,Electricity: Basic levy,
FS161,2018/19,Original Budget,Indigent HH receiving FBS,Electricity: Basic levy,
FS161,2018/19,Adjusted Budget,Indigent HH receiving FBS,Electricity: Basic levy,
FS161,2019/20,Budget Year,Indigent HH receiving FBS,Electricity: Basic levy,
FS161,2020/21,Budget Year,Indigent HH receiving FBS,Electricity: Basic levy,
FS161,2021/22,Budget Year,Indigent HH receiving FBS,Electricity: Basic levy,
FS161,2015/16,Audited Outcome,Indigent HH receiving FBS,Electricity: Consumption,
FS161,2016/17,Audited Outcome,Indigent HH receiving FBS,Electricity: Consumption,
FS161,2017/18,Audited Outcome,Indigent HH receiving FBS,Electricity: Consumption,315.0
FS161,2018/19,Original Budget,Indigent HH receiving FBS,Electricity: Consumption,336.55
FS161,2018/19,Adjusted Budget,Indigent HH receiving FBS,Electricity: Consumption,336.55
FS161,2019/20,Budget Year,Indigent HH receiving FBS,Electricity: Consumption,354.05
FS161,2020/21,Budget Year,Indigent HH receiving FBS,Electricity: Consumption,372.46
FS161,2021/22,Budget Year,Indigent HH receiving FBS,Electricity: Consumption,391.82
FS161,2015/16,Audited Outcome,Indigent HH receiving FBS,Water: Basic levy,
FS161,2016/17,Audited Outcome,Indigent HH receiving FBS,Water: Basic levy,
FS161,2017/18,Audited Outcome,Indigent HH receiving FBS,Water: Basic levy,
FS161,2018/19,Original Budget,Indigent HH receiving FBS,Water: Basic levy,
FS161,2018/19,Adjusted Budget,Indigent HH receiving FBS,Water: Basic levy,
FS161,2019/20,Budget Year,Indigent HH receiving FBS,Water: Basic levy,
FS161,2020/21,Budget Year,Indigent HH receiving FBS,Water: Basic levy,
FS161,2021/22,Budget Year,Indigent HH receiving FBS,Water: Basic levy,
FS161,2015/16,Audited Outcome,Indigent HH receiving FBS,Water: Consumption,
FS161,2016/17,Audited Outcome,Indigent HH receiving FBS,Water: Consumption,
FS161,2017/18,Audited Outcome,Indigent HH receiving FBS,Water: Consumption,103.46
FS161,2018/19,Original Budget,Indigent HH receiving FBS,Water: Consumption,109.15
FS161,2018/19,Adjusted Budget,Indigent HH receiving FBS,Water: Consumption,109.15
FS161,2019/20,Budget Year,Indigent HH receiving FBS,Water: Consumption,114.83
FS161,2020/21,Budget Year,Indigent HH receiving FBS,Water: Consumption,120.8
FS161,2021/22,Budget Year,Indigent HH receiving FBS,Water: Consumption,127.08
FS161,2015/16,Audited Outcome,Indigent HH receiving FBS,Sanitation,
FS161,2016/17,Audited Outcome,Indigent HH receiving FBS,Sanitation,
FS161,2017/18,Audited Outcome,Indigent HH receiving FBS,Sanitation,
FS161,2018/19,Original Budget,Indigent HH receiving FBS,Sanitation,
FS161,2018/19,Adjusted Budget,Indigent HH receiving FBS,Sanitation,
FS161,2019/20,Budget Year,Indigent HH receiving FBS,Sanitation,
FS161,2020/21,Budget Year,Indigent HH receiving FBS,Sanitation,
FS161,2021/22,Budget Year,Indigent HH receiving FBS,Sanitation,
FS161,2015/16,Audited Outcome,Indigent HH receiving FBS,Refuse removal,
FS161,2016/17,Audited Outcome,Indigent HH receiving FBS,Refuse removal,
FS161,2017/18,Audited Outcome,Indigent HH receiving FBS,Refuse removal,
FS161,2018/19,Original Budget,Indigent HH receiving FBS,Refuse removal,
FS161,2018/19,Adjusted Budget,Indigent HH receiving FBS,Refuse removal,
FS161,2019/20,Budget Year,Indigent HH receiving FBS,Refuse removal,
FS161,2020/21,Budget Year,Indigent HH receiving FBS,Refuse removal,
FS161,2021/22,Budget Year,Indigent HH receiving FBS,Refuse removal,
FS161,2015/16,Audited Outcome,Indigent HH receiving FBS,Other,
FS161,2016/17,Audited Outcome,Indigent HH receiving FBS,Other,
FS161,2017/18,Audited Outcome,Indigent HH receiving FBS,Other,
FS161,2018/19,Original Budget,Indigent HH receiving FBS,Other,
FS161,2018/19,Adjusted Budget,Indigent HH receiving FBS,Other,
FS161,2019/20,Budget Year,Indigent HH receiving FBS,Other,
FS161,2020/21,Budget Year,Indigent HH receiving FBS,Other,
FS161,2021/22,Budget Year,Indigent HH receiving FBS,Other,
FS162,2015/16,Audited Outcome,Middle Income Range,Property rates,573.54
FS162,2016/17,Audited Outcome,Middle Income Range,Property rates,630.89
FS162,2017/18,Audited Outcome,Middle Income Range,Property rates,630.89
FS162,2018/19,Original Budget,Middle Income Range,Property rates,693.98
FS162,2018/19,Adjusted Budget,Middle Income Range,Property rates,693.98
FS162,2019/20,Budget Year,Middle Income Range,Property rates,735.62
FS162,2020/21,Budget Year,Middle Income Range,Property rates,779.76
FS162,2021/22,Budget Year,Middle Income Range,Property rates,826.55
FS162,2015/16,Audited Outcome,Middle Income Range,Electricity: Basic levy,
FS162,2016/17,Audited Outcome,Middle Income Range,Electricity: Basic levy,
FS162,2017/18,Audited Outcome,Middle Income Range,Electricity: Basic levy,
FS162,2018/19,Original Budget,Middle Income Range,Electricity: Basic levy,
FS162,2018/19,Adjusted Budget,Middle Income Range,Electricity: Basic levy,
FS162,2019/20,Budget Year,Middle Income Range,Electricity: Basic levy,
FS162,2020/21,Budget Year,Middle Income Range,Electricity: Basic levy,
FS162,2021/22,Budget Year,Middle Income Range,Electricity: Basic levy,
FS162,2015/16,Audited Outcome,Middle Income Range,Electricity: Consumption,240.0
FS162,2016/17,Audited Outcome,Middle Income Range,Electricity: Consumption,264.0
FS162,2017/18,Audited Outcome,Middle Income Range,Electricity: Consumption,264.0
FS162,2018/19,Original Budget,Middle Income Range,Electricity: Consumption,290.4
FS162,2018/19,Adjusted Budget,Middle Income Range,Electricity: Consumption,290.4
FS162,2019/20,Budget Year,Middle Income Range,Electricity: Consumption,307.82
FS162,2020/21,Budget Year,Middle Income Range,Electricity: Consumption,326.29
FS162,2021/22,Budget Year,Middle Income Range,Electricity: Consumption,345.87
FS162,2015/16,Audited Outcome,Middle Income Range,Water: Basic levy,
FS162,2016/17,Audited Outcome,Middle Income Range,Water: Basic levy,
FS162,2017/18,Audited Outcome,Middle Income Range,Water: Basic levy,
FS162,2018/19,Original Budget,Middle Income Range,Water: Basic levy,
FS162,2018/19,Adjusted Budget,Middle Income Range,Water: Basic levy,
FS162,2019/20,Budget Year,Middle Income Range,Water: Basic levy,
FS162,2020/21,Budget Year,Middle Income Range,Water: Basic levy,
FS162,2021/22,Budget Year,Middle Income Range,Water: Basic levy,
FS162,2015/16,Audited Outcome,Middle Income Range,Water: Consumption,253.45
FS162,2016/17,Audited Outcome,Middle Income Range,Water: Consumption,278.8
FS162,2017/18,Audited Outcome,Middle Income Range,Water: Consumption,278.8
FS162,2018/19,Original Budget,Middle Income Range,Water: Consumption,306.68
FS162,2018/19,Adjusted Budget,Middle Income Range,Water: Consumption,306.68
FS162,2019/20,Budget Year,Middle Income Range,Water: Consumption,325.08
FS162,2020/21,Budget Year,Middle Income Range,Water: Consumption,344.58
FS162,2021/22,Budget Year,Middle Income Range,Water: Consumption,365.26
FS162,2015/16,Audited Outcome,Middle Income Range,Sanitation,88.08
FS162,2016/17,Audited Outcome,Middle Income Range,Sanitation,96.88
FS162,2017/18,Audited Outcome,Middle Income Range,Sanitation,96.88
FS162,2018/19,Original Budget,Middle Income Range,Sanitation,106.57
FS162,2018/19,Adjusted Budget,Middle Income Range,Sanitation,106.57
FS162,2019/20,Budget Year,Middle Income Range,Sanitation,112.97
FS162,2020/21,Budget Year,Middle Income Range,Sanitation,119.75
FS162,2021/22,Budget Year,Middle Income Range,Sanitation,126.93
FS162,2015/16,Audited Outcome,Middle Income Range,Refuse removal,64.06
FS162,2016/17,Audited Outcome,Middle Income Range,Refuse removal,70.47
FS162,2017/18,Audited Outcome,Middle Income Range,Refuse removal,70.47
FS162,2018/19,Original Budget,Middle Income Range,Refuse removal,77.52
FS162,2018/19,Adjusted Budget,Middle Income Range,Refuse removal,77.52
FS162,2019/20,Budget Year,Middle Income Range,Refuse removal,82.17
FS162,2020/21,Budget Year,Middle Income Range,Refuse removal,87.1
FS162,2021/22,Budget Year,Middle Income Range,Refuse removal,92.32
FS162,2015/16,Audited Outcome,Middle Income Range,Other,
FS162,2016/17,Audited Outcome,Middle Income Range,Other,
FS162,2017/18,Audited Outcome,Middle Income Range,Other,
FS162,2018/19,Original Budget,Middle Income Range,Other,
FS162,2018/19,Adjusted Budget,Middle Income Range,Other,
FS162,2019/20,Budget Year,Middle Income Range,Other,
FS162,2020/21,Budget Year,Middle Income Range,Other,
FS162,2021/22,Budget Year,Middle Income Range,Other,
FS162,2015/16,Audited Outcome,Affordable Range,Property rates,246.84
FS162,2016/17,Audited Outcome,Affordable Range,Property rates,271.52
FS162,2017/18,Audited Outcome,Affordable Range,Property rates,271.52
FS162,2018/19,Original Budget,Affordable Range,Property rates,298.68
FS162,2018/19,Adjusted Budget,Affordable Range,Property rates,298.68
FS162,2019/20,Budget Year,Affordable Range,Property rates,316.6
FS162,2020/21,Budget Year,Affordable Range,Property rates,335.59
FS162,2021/22,Budget Year,Affordable Range,Property rates,355.73
FS162,2015/16,Audited Outcome,Affordable Range,Electricity: Basic levy,
FS162,2016/17,Audited Outcome,Affordable Range,Electricity: Basic levy,
FS162,2017/18,Audited Outcome,Affordable Range,Electricity: Basic levy,
FS162,2018/19,Original Budget,Affordable Range,Electricity: Basic levy,
FS162,2018/19,Adjusted Budget,Affordable Range,Electricity: Basic levy,
FS162,2019/20,Budget Year,Affordable Range,Electricity: Basic levy,
FS162,2020/21,Budget Year,Affordable Range,Electricity: Basic levy,
FS162,2021/22,Budget Year,Affordable Range,Electricity: Basic levy,
FS162,2015/16,Audited Outcome,Affordable Range,Electricity: Consumption,240.0
FS162,2016/17,Audited Outcome,Affordable Range,Electricity: Consumption,264.0
FS162,2017/18,Audited Outcome,Affordable Range,Electricity: Consumption,264.0
FS162,2018/19,Original Budget,Affordable Range,Electricity: Consumption,290.4
FS162,2018/19,Adjusted Budget,Affordable Range,Electricity: Consumption,290.4
FS162,2019/20,Budget Year,Affordable Range,Electricity: Consumption,307.82
FS162,2020/21,Budget Year,Affordable Range,Electricity: Consumption,326.29
FS162,2021/22,Budget Year,Affordable Range,Electricity: Consumption,345.87
