Geography,Financial Year,Budget Phase,Class,Total,Percent Increase
FS195,2018/19,Adjusted Budget,Affordable Range,1157.85,
FS195,2019/20,Budget Year,Affordable Range,1252.05,8.14
FS195,2020/21,Budget Year,Affordable Range,1319.66,5.4
FS195,2021/22,Budget Year,Affordable Range,1390.92,5.4
FS195,2015/16,Audited Outcome,Indigent HH receiving FBS,197.22,
FS195,2016/17,Audited Outcome,Indigent HH receiving FBS,224.01,13.58
FS195,2017/18,Audited Outcome,Indigent HH receiving FBS,239.51,6.92
FS195,2018/19,Original Budget,Indigent HH receiving FBS,248.86,3.9
FS195,2018/19,Adjusted Budget,Indigent HH receiving FBS,248.86,
FS195,2019/20,Budget Year,Indigent HH receiving FBS,274.54,10.32
FS195,2020/21,Budget Year,Indigent HH receiving FBS,289.36,5.4
FS195,2021/22,Budget Year,Indigent HH receiving FBS,304.99,5.4
FS196,2015/16,Audited Outcome,Middle Income Range,2152.65,
FS196,2016/17,Audited Outcome,Middle Income Range,2378.05,10.47
FS196,2017/18,Audited Outcome,Middle Income Range,2614.87,9.96
FS196,2018/19,Original Budget,Middle Income Range,2796.21,6.93
FS196,2018/19,Adjusted Budget,Middle Income Range,2796.21,
FS196,2019/20,Budget Year,Middle Income Range,1471.61,-47.37
FS196,2020/21,Budget Year,Middle Income Range,1549.6,5.3
FS196,2021/22,Budget Year,Middle Income Range,1633.28,5.4
FS196,2015/16,Audited Outcome,Affordable Range,1241.47,
FS196,2016/17,Audited Outcome,Affordable Range,1359.01,9.47
FS196,2017/18,Audited Outcome,Affordable Range,1510.93,11.18
FS196,2018/19,Original Budget,Affordable Range,1644.56,8.84
FS196,2018/19,Adjusted Budget,Affordable Range,1644.56,
FS196,2019/20,Budget Year,Affordable Range,963.87,-41.39
FS196,2020/21,Budget Year,Affordable Range,1014.95,5.3
FS196,2021/22,Budget Year,Affordable Range,1069.76,5.4
FS196,2015/16,Audited Outcome,Indigent HH receiving FBS,995.23,
FS196,2016/17,Audited Outcome,Indigent HH receiving FBS,1085.41,9.06
FS196,2017/18,Audited Outcome,Indigent HH receiving FBS,731.41,-32.61
FS196,2018/19,Original Budget,Indigent HH receiving FBS,863.92,18.12
FS196,2018/19,Adjusted Budget,Indigent HH receiving FBS,863.92,
FS196,2019/20,Budget Year,Indigent HH receiving FBS,423.2,-51.01
FS196,2020/21,Budget Year,Indigent HH receiving FBS,445.63,5.3
FS196,2021/22,Budget Year,Indigent HH receiving FBS,469.7,5.4
DC19,2015/16,Audited Outcome,Middle Income Range,,
DC19,2016/17,Audited Outcome,Middle Income Range,,
DC19,2017/18,Audited Outcome,Middle Income Range,,
DC19,2018/19,Original Budget,Middle Income Range,,
DC19,2018/19,Adjusted Budget,Middle Income Range,,
DC19,2019/20,Budget Year,Middle Income Range,,
DC19,2020/21,Budget Year,Middle Income Range,,
DC19,2021/22,Budget Year,Middle Income Range,,
DC19,2015/16,Audited Outcome,Affordable Range,,
DC19,2016/17,Audited Outcome,Affordable Range,,
DC19,2017/18,Audited Outcome,Affordable Range,,
DC19,2018/19,Original Budget,Affordable Range,,
DC19,2018/19,Adjusted Budget,Affordable Range,,
DC19,2019/20,Budget Year,Affordable Range,,
DC19,2020/21,Budget Year,Affordable Range,,
DC19,2021/22,Budget Year,Affordable Range,,
DC19,2015/16,Audited Outcome,Indigent HH receiving FBS,,
DC19,2016/17,Audited Outcome,Indigent HH receiving FBS,,
DC19,2017/18,Audited Outcome,Indigent HH receiving FBS,,
DC19,2018/19,Original Budget,Indigent HH receiving FBS,,
DC19,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
DC19,2019/20,Budget Year,Indigent HH receiving FBS,,
DC19,2020/21,Budget Year,Indigent HH receiving FBS,,
DC19,2021/22,Budget Year,Indigent HH receiving FBS,,
FS201,2015/16,Audited Outcome,Middle Income Range,1656.78,
FS201,2016/17,Audited Outcome,Middle Income Range,1829.85,10.45
FS201,2017/18,Audited Outcome,Middle Income Range,2009.11,9.8
FS201,2018/19,Original Budget,Middle Income Range,2295.67,14.26
FS201,2018/19,Adjusted Budget,Middle Income Range,2470.24,7.6
FS201,2019/20,Budget Year,Middle Income Range,2676.71,8.36
FS201,2020/21,Budget Year,Middle Income Range,2810.55,5.0
FS201,2021/22,Budget Year,Middle Income Range,2951.07,5.0
FS201,2015/16,Audited Outcome,Affordable Range,1068.9,
FS201,2016/17,Audited Outcome,Affordable Range,1286.23,20.33
FS201,2017/18,Audited Outcome,Affordable Range,1483.03,15.3
FS201,2018/19,Original Budget,Affordable Range,1664.22,12.22
FS201,2018/19,Adjusted Budget,Affordable Range,1783.17,7.15
FS201,2019/20,Budget Year,Affordable Range,1722.71,-3.39
FS201,2020/21,Budget Year,Affordable Range,1808.85,5.0
FS201,2021/22,Budget Year,Affordable Range,1899.29,5.0
FS201,2015/16,Audited Outcome,Indigent HH receiving FBS,562.73,
FS201,2016/17,Audited Outcome,Indigent HH receiving FBS,683.14,21.4
FS201,2017/18,Audited Outcome,Indigent HH receiving FBS,751.11,9.95
FS201,2018/19,Original Budget,Indigent HH receiving FBS,823.04,9.58
FS201,2018/19,Adjusted Budget,Indigent HH receiving FBS,870.38,5.75
FS201,2019/20,Budget Year,Indigent HH receiving FBS,952.37,9.42
FS201,2020/21,Budget Year,Indigent HH receiving FBS,999.99,5.0
FS201,2021/22,Budget Year,Indigent HH receiving FBS,1049.99,5.0
FS203,2015/16,Audited Outcome,Middle Income Range,,
FS203,2016/17,Audited Outcome,Middle Income Range,,
FS203,2017/18,Audited Outcome,Middle Income Range,,
FS203,2018/19,Original Budget,Middle Income Range,,
FS203,2018/19,Adjusted Budget,Middle Income Range,,
FS203,2019/20,Budget Year,Middle Income Range,,
FS203,2020/21,Budget Year,Middle Income Range,,
FS203,2021/22,Budget Year,Middle Income Range,,
FS203,2015/16,Audited Outcome,Affordable Range,,
FS203,2016/17,Audited Outcome,Affordable Range,,
FS203,2017/18,Audited Outcome,Affordable Range,,
FS203,2018/19,Original Budget,Affordable Range,,
FS203,2018/19,Adjusted Budget,Affordable Range,,
FS203,2019/20,Budget Year,Affordable Range,,
FS203,2020/21,Budget Year,Affordable Range,,
FS203,2021/22,Budget Year,Affordable Range,,
FS203,2015/16,Audited Outcome,Indigent HH receiving FBS,,
FS203,2016/17,Audited Outcome,Indigent HH receiving FBS,,
FS203,2017/18,Audited Outcome,Indigent HH receiving FBS,,
FS203,2018/19,Original Budget,Indigent HH receiving FBS,,
FS203,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
FS203,2019/20,Budget Year,Indigent HH receiving FBS,,
FS203,2020/21,Budget Year,Indigent HH receiving FBS,,
FS203,2021/22,Budget Year,Indigent HH receiving FBS,,
FS204,2015/16,Audited Outcome,Middle Income Range,1649.25,
FS204,2016/17,Audited Outcome,Middle Income Range,1817.59,10.21
FS204,2017/18,Audited Outcome,Middle Income Range,3208.78,76.54
FS204,2018/19,Original Budget,Middle Income Range,3427.81,6.83
FS204,2018/19,Adjusted Budget,Middle Income Range,3427.81,
FS204,2019/20,Budget Year,Middle Income Range,3633.84,6.01
FS204,2020/21,Budget Year,Middle Income Range,3884.69,6.9
FS204,2021/22,Budget Year,Middle Income Range,4090.09,5.29
FS204,2015/16,Audited Outcome,Affordable Range,1548.52,
FS204,2016/17,Audited Outcome,Affordable Range,1707.24,10.25
FS204,2017/18,Audited Outcome,Affordable Range,1927.36,12.89
FS204,2018/19,Original Budget,Affordable Range,2049.7,6.35
FS204,2018/19,Adjusted Budget,Affordable Range,2049.7,
FS204,2019/20,Budget Year,Affordable Range,2127.76,3.81
FS204,2020/21,Budget Year,Affordable Range,2265.62,6.48
FS204,2021/22,Budget Year,Affordable Range,2386.13,5.32
FS204,2015/16,Audited Outcome,Indigent HH receiving FBS,627.38,
FS204,2016/17,Audited Outcome,Indigent HH receiving FBS,665.93,6.14
FS204,2017/18,Audited Outcome,Indigent HH receiving FBS,606.98,-8.85
FS204,2018/19,Original Budget,Indigent HH receiving FBS,740.49,22.0
FS204,2018/19,Adjusted Budget,Indigent HH receiving FBS,740.49,
FS204,2019/20,Budget Year,Indigent HH receiving FBS,802.5,8.37
FS204,2020/21,Budget Year,Indigent HH receiving FBS,857.97,6.91
FS204,2021/22,Budget Year,Indigent HH receiving FBS,903.33,5.29
FS205,2015/16,Audited Outcome,Middle Income Range,953.3,
FS205,2016/17,Audited Outcome,Middle Income Range,,-100.0
FS205,2017/18,Audited Outcome,Middle Income Range,,
FS205,2018/19,Original Budget,Middle Income Range,1190.46,
FS205,2018/19,Adjusted Budget,Middle Income Range,1190.46,
FS205,2019/20,Budget Year,Middle Income Range,1252.36,
FS205,2020/21,Budget Year,Middle Income Range,1317.48,5.2
FS205,2021/22,Budget Year,Middle Income Range,1385.99,5.2
FS205,2015/16,Audited Outcome,Affordable Range,394.96,
FS205,2016/17,Audited Outcome,Affordable Range,,-100.0
FS205,2017/18,Audited Outcome,Affordable Range,,
FS205,2018/19,Original Budget,Affordable Range,495.8,
FS205,2018/19,Adjusted Budget,Affordable Range,495.8,
FS205,2019/20,Budget Year,Affordable Range,521.58,
FS205,2020/21,Budget Year,Affordable Range,548.7,5.2
FS205,2021/22,Budget Year,Affordable Range,577.23,5.2
FS205,2015/16,Audited Outcome,Indigent HH receiving FBS,194.89,
FS205,2016/17,Audited Outcome,Indigent HH receiving FBS,,-100.0
FS205,2017/18,Audited Outcome,Indigent HH receiving FBS,,
FS205,2018/19,Original Budget,Indigent HH receiving FBS,255.76,
FS205,2018/19,Adjusted Budget,Indigent HH receiving FBS,255.76,
FS205,2019/20,Budget Year,Indigent HH receiving FBS,269.06,
FS205,2020/21,Budget Year,Indigent HH receiving FBS,283.05,5.2
FS205,2021/22,Budget Year,Indigent HH receiving FBS,297.77,5.2
DC20,2015/16,Audited Outcome,Middle Income Range,,
DC20,2016/17,Audited Outcome,Middle Income Range,,
DC20,2017/18,Audited Outcome,Middle Income Range,,
DC20,2018/19,Original Budget,Middle Income Range,,
DC20,2018/19,Adjusted Budget,Middle Income Range,,
DC20,2019/20,Budget Year,Middle Income Range,,
DC20,2020/21,Budget Year,Middle Income Range,,
DC20,2021/22,Budget Year,Middle Income Range,,
DC20,2015/16,Audited Outcome,Affordable Range,,
DC20,2016/17,Audited Outcome,Affordable Range,,
DC20,2017/18,Audited Outcome,Affordable Range,,
DC20,2018/19,Original Budget,Affordable Range,,
DC20,2018/19,Adjusted Budget,Affordable Range,,
DC20,2019/20,Budget Year,Affordable Range,,
DC20,2020/21,Budget Year,Affordable Range,,
DC20,2021/22,Budget Year,Affordable Range,,
DC20,2015/16,Audited Outcome,Indigent HH receiving FBS,,
DC20,2016/17,Audited Outcome,Indigent HH receiving FBS,,
DC20,2017/18,Audited Outcome,Indigent HH receiving FBS,,
DC20,2018/19,Original Budget,Indigent HH receiving FBS,,
DC20,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
DC20,2019/20,Budget Year,Indigent HH receiving FBS,,
DC20,2020/21,Budget Year,Indigent HH receiving FBS,,
DC20,2021/22,Budget Year,Indigent HH receiving FBS,,
EKU,2015/16,Audited Outcome,Middle Income Range,2768.31,
EKU,2016/17,Audited Outcome,Middle Income Range,2988.76,7.96
EKU,2017/18,Audited Outcome,Middle Income Range,3145.55,5.25
EKU,2018/19,Original Budget,Middle Income Range,3419.73,8.72
EKU,2018/19,Adjusted Budget,Middle Income Range,3419.73,
EKU,2019/20,Budget Year,Middle Income Range,3817.96,11.65
EKU,2020/21,Budget Year,Middle Income Range,4279.36,12.08
EKU,2021/22,Budget Year,Middle Income Range,4727.08,10.46
EKU,2015/16,Audited Outcome,Affordable Range,1298.49,
EKU,2016/17,Audited Outcome,Affordable Range,1414.26,8.92
EKU,2017/18,Audited Outcome,Affordable Range,1518.8,7.39
EKU,2018/19,Original Budget,Affordable Range,1661.0,9.36
EKU,2018/19,Adjusted Budget,Affordable Range,1661.0,
EKU,2019/20,Budget Year,Affordable Range,1838.2,10.67
EKU,2020/21,Budget Year,Affordable Range,2050.89,11.57
EKU,2021/22,Budget Year,Affordable Range,2261.8,10.28
EKU,2015/16,Audited Outcome,Indigent HH receiving FBS,524.84,
EKU,2016/17,Audited Outcome,Indigent HH receiving FBS,574.92,9.54
EKU,2017/18,Audited Outcome,Indigent HH receiving FBS,608.38,5.82
EKU,2018/19,Original Budget,Indigent HH receiving FBS,670.54,10.22
EKU,2018/19,Adjusted Budget,Indigent HH receiving FBS,670.54,
EKU,2019/20,Budget Year,Indigent HH receiving FBS,760.18,13.37
EKU,2020/21,Budget Year,Indigent HH receiving FBS,861.98,13.39
EKU,2021/22,Budget Year,Indigent HH receiving FBS,982.91,14.03
JHB,2015/16,Audited Outcome,Middle Income Range,2985.48,
JHB,2016/17,Audited Outcome,Middle Income Range,3191.0,6.88
JHB,2017/18,Audited Outcome,Middle Income Range,3375.09,5.77
JHB,2018/19,Original Budget,Middle Income Range,3516.37,4.19
JHB,2018/19,Adjusted Budget,Middle Income Range,3516.37,
JHB,2019/20,Budget Year,Middle Income Range,3914.29,11.32
JHB,2020/21,Budget Year,Middle Income Range,4334.76,10.74
JHB,2021/22,Budget Year,Middle Income Range,4798.83,10.71
JHB,2015/16,Audited Outcome,Affordable Range,1841.98,
JHB,2016/17,Audited Outcome,Affordable Range,1936.23,5.12
JHB,2017/18,Audited Outcome,Affordable Range,2066.12,6.71
JHB,2018/19,Original Budget,Affordable Range,2181.19,5.57
JHB,2018/19,Adjusted Budget,Affordable Range,2181.19,
JHB,2019/20,Budget Year,Affordable Range,2428.57,11.34
JHB,2020/21,Budget Year,Affordable Range,2690.19,10.77
JHB,2021/22,Budget Year,Affordable Range,2978.88,10.73
JHB,2015/16,Audited Outcome,Indigent HH receiving FBS,533.22,
JHB,2016/17,Audited Outcome,Indigent HH receiving FBS,571.94,7.26
JHB,2017/18,Audited Outcome,Indigent HH receiving FBS,593.93,3.84
JHB,2018/19,Original Budget,Indigent HH receiving FBS,681.7,14.78
JHB,2018/19,Adjusted Budget,Indigent HH receiving FBS,681.7,
JHB,2019/20,Budget Year,Indigent HH receiving FBS,758.2,11.22
JHB,2020/21,Budget Year,Indigent HH receiving FBS,843.19,11.21
JHB,2021/22,Budget Year,Indigent HH receiving FBS,937.26,11.16
TSH,2015/16,Audited Outcome,Middle Income Range,3173.16,
TSH,2016/17,Audited Outcome,Middle Income Range,3465.71,9.22
TSH,2017/18,Audited Outcome,Middle Income Range,3546.45,2.33
TSH,2018/19,Original Budget,Middle Income Range,3831.85,8.05
TSH,2018/19,Adjusted Budget,Middle Income Range,3831.85,
TSH,2019/20,Budget Year,Middle Income Range,4222.88,10.2
TSH,2020/21,Budget Year,Middle Income Range,4450.91,5.4
TSH,2021/22,Budget Year,Middle Income Range,4691.26,5.4
TSH,2015/16,Audited Outcome,Affordable Range,1784.91,
TSH,2016/17,Audited Outcome,Affordable Range,1953.77,9.46
TSH,2017/18,Audited Outcome,Affordable Range,1990.29,1.87
TSH,2018/19,Original Budget,Affordable Range,2153.21,8.19
TSH,2018/19,Adjusted Budget,Affordable Range,2153.21,
TSH,2019/20,Budget Year,Affordable Range,2358.41,9.53
TSH,2020/21,Budget Year,Affordable Range,2485.77,5.4
TSH,2021/22,Budget Year,Affordable Range,2620.0,5.4
TSH,2015/16,Audited Outcome,Indigent HH receiving FBS,648.43,
TSH,2016/17,Audited Outcome,Indigent HH receiving FBS,708.57,9.27
TSH,2017/18,Audited Outcome,Indigent HH receiving FBS,744.53,5.08
TSH,2018/19,Original Budget,Indigent HH receiving FBS,813.6,9.28
TSH,2018/19,Adjusted Budget,Indigent HH receiving FBS,813.6,
TSH,2019/20,Budget Year,Indigent HH receiving FBS,910.09,11.86
TSH,2020/21,Budget Year,Indigent HH receiving FBS,959.23,5.4
TSH,2021/22,Budget Year,Indigent HH receiving FBS,1011.03,5.4
GT421,2015/16,Audited Outcome,Middle Income Range,,
GT421,2016/17,Audited Outcome,Middle Income Range,,
GT421,2017/18,Audited Outcome,Middle Income Range,,
GT421,2018/19,Original Budget,Middle Income Range,,
GT421,2018/19,Adjusted Budget,Middle Income Range,,
GT421,2019/20,Budget Year,Middle Income Range,3689.36,10.68
GT421,2020/21,Budget Year,Middle Income Range,4088.78,10.83
GT421,2021/22,Budget Year,Middle Income Range,4537.13,10.97
GT421,2015/16,Audited Outcome,Affordable Range,,
GT421,2016/17,Audited Outcome,Affordable Range,,
GT421,2017/18,Audited Outcome,Affordable Range,,
GT421,2018/19,Original Budget,Affordable Range,,
GT421,2018/19,Adjusted Budget,Affordable Range,,
GT421,2019/20,Budget Year,Affordable Range,2678.74,10.42
GT421,2020/21,Budget Year,Affordable Range,2962.03,10.58
GT421,2021/22,Budget Year,Affordable Range,3279.84,10.73
GT421,2015/16,Audited Outcome,Indigent HH receiving FBS,,
GT421,2016/17,Audited Outcome,Indigent HH receiving FBS,,
GT421,2017/18,Audited Outcome,Indigent HH receiving FBS,,
GT421,2018/19,Original Budget,Indigent HH receiving FBS,,
GT421,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
GT421,2019/20,Budget Year,Indigent HH receiving FBS,669.19,9.87
GT421,2020/21,Budget Year,Indigent HH receiving FBS,735.98,9.98
GT421,2021/22,Budget Year,Indigent HH receiving FBS,810.27,10.09
GT422,2015/16,Audited Outcome,Middle Income Range,3141.43,
GT422,2016/17,Audited Outcome,Middle Income Range,3450.68,9.84
GT422,2017/18,Audited Outcome,Middle Income Range,3629.41,5.18
GT422,2018/19,Original Budget,Middle Income Range,3723.93,2.6
GT422,2018/19,Adjusted Budget,Middle Income Range,3723.93,
GT422,2019/20,Budget Year,Middle Income Range,4181.05,12.27
GT422,2020/21,Budget Year,Middle Income Range,4532.4,8.4
GT422,2021/22,Budget Year,Middle Income Range,4826.03,6.48
GT422,2015/16,Audited Outcome,Affordable Range,1907.74,
GT422,2016/17,Audited Outcome,Affordable Range,2194.09,15.01
GT422,2017/18,Audited Outcome,Affordable Range,2317.23,5.61
GT422,2018/19,Original Budget,Affordable Range,2317.4,0.01
GT422,2018/19,Adjusted Budget,Affordable Range,2317.4,
GT422,2019/20,Budget Year,Affordable Range,2600.44,12.21
GT422,2020/21,Budget Year,Affordable Range,2822.95,8.56
GT422,2021/22,Budget Year,Affordable Range,3021.04,7.02
GT422,2015/16,Audited Outcome,Indigent HH receiving FBS,676.84,
GT422,2016/17,Audited Outcome,Indigent HH receiving FBS,761.06,12.44
GT422,2017/18,Audited Outcome,Indigent HH receiving FBS,862.59,13.34
GT422,2018/19,Original Budget,Indigent HH receiving FBS,932.53,8.11
GT422,2018/19,Adjusted Budget,Indigent HH receiving FBS,932.53,
GT422,2019/20,Budget Year,Indigent HH receiving FBS,1031.13,10.57
GT422,2020/21,Budget Year,Indigent HH receiving FBS,1116.6,8.29
GT422,2021/22,Budget Year,Indigent HH receiving FBS,1190.48,6.62
GT423,2015/16,Audited Outcome,Middle Income Range,3105.99,
GT423,2016/17,Audited Outcome,Middle Income Range,3374.0,8.63
GT423,2017/18,Audited Outcome,Middle Income Range,3517.82,4.26
GT423,2018/19,Original Budget,Middle Income Range,3760.13,6.89
GT423,2018/19,Adjusted Budget,Middle Income Range,3760.13,
GT423,2019/20,Budget Year,Middle Income Range,4240.14,12.77
GT423,2020/21,Budget Year,Middle Income Range,4542.68,7.14
GT423,2021/22,Budget Year,Middle Income Range,4788.64,5.41
GT423,2015/16,Audited Outcome,Affordable Range,1809.59,
GT423,2016/17,Audited Outcome,Affordable Range,1970.59,8.9
GT423,2017/18,Audited Outcome,Affordable Range,2067.67,4.93
GT423,2018/19,Original Budget,Affordable Range,2247.61,8.7
GT423,2018/19,Adjusted Budget,Affordable Range,2247.61,
GT423,2019/20,Budget Year,Affordable Range,2487.71,10.68
GT423,2020/21,Budget Year,Affordable Range,2675.2,7.54
GT423,2021/22,Budget Year,Affordable Range,2818.88,5.37
GT423,2015/16,Audited Outcome,Indigent HH receiving FBS,1194.82,
GT423,2016/17,Audited Outcome,Indigent HH receiving FBS,1301.4,8.92
GT423,2017/18,Audited Outcome,Indigent HH receiving FBS,1363.38,4.76
GT423,2018/19,Original Budget,Indigent HH receiving FBS,1483.41,8.8
GT423,2018/19,Adjusted Budget,Indigent HH receiving FBS,1483.41,
GT423,2019/20,Budget Year,Indigent HH receiving FBS,1644.67,10.87
GT423,2020/21,Budget Year,Indigent HH receiving FBS,1768.81,7.55
GT423,2021/22,Budget Year,Indigent HH receiving FBS,1863.97,5.38
DC42,2015/16,Audited Outcome,Middle Income Range,,
DC42,2016/17,Audited Outcome,Middle Income Range,,
DC42,2017/18,Audited Outcome,Middle Income Range,,
DC42,2018/19,Original Budget,Middle Income Range,,
DC42,2018/19,Adjusted Budget,Middle Income Range,,
DC42,2019/20,Budget Year,Middle Income Range,,
DC42,2020/21,Budget Year,Middle Income Range,,
DC42,2021/22,Budget Year,Middle Income Range,,
DC42,2015/16,Audited Outcome,Affordable Range,,
DC42,2016/17,Audited Outcome,Affordable Range,,
DC42,2017/18,Audited Outcome,Affordable Range,,
DC42,2018/19,Original Budget,Affordable Range,,
DC42,2018/19,Adjusted Budget,Affordable Range,,
DC42,2019/20,Budget Year,Affordable Range,,
DC42,2020/21,Budget Year,Affordable Range,,
DC42,2021/22,Budget Year,Affordable Range,,
DC42,2015/16,Audited Outcome,Indigent HH receiving FBS,,
DC42,2016/17,Audited Outcome,Indigent HH receiving FBS,,
DC42,2017/18,Audited Outcome,Indigent HH receiving FBS,,
DC42,2018/19,Original Budget,Indigent HH receiving FBS,,
DC42,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
DC42,2019/20,Budget Year,Indigent HH receiving FBS,,
DC42,2020/21,Budget Year,Indigent HH receiving FBS,,
DC42,2021/22,Budget Year,Indigent HH receiving FBS,,
GT481,2015/16,Audited Outcome,Middle Income Range,1823763924.18,
GT481,2016/17,Audited Outcome,Middle Income Range,1868815705.48,2.47
GT481,2017/18,Audited Outcome,Middle Income Range,1955184361.93,4.62
GT481,2018/19,Original Budget,Middle Income Range,2111251951.24,7.98
GT481,2018/19,Adjusted Budget,Middle Income Range,2057429905.2,-2.55
GT481,2019/20,Budget Year,Middle Income Range,2240301685.56,8.89
GT481,2020/21,Budget Year,Middle Income Range,2406807970.01,7.43
GT481,2021/22,Budget Year,Middle Income Range,2552245296.05,6.04
GT481,2015/16,Audited Outcome,Affordable Range,,
GT481,2016/17,Audited Outcome,Affordable Range,,
GT481,2017/18,Audited Outcome,Affordable Range,,
GT481,2018/19,Original Budget,Affordable Range,,
GT481,2018/19,Adjusted Budget,Affordable Range,,
GT481,2019/20,Budget Year,Affordable Range,,
GT481,2020/21,Budget Year,Affordable Range,,
GT481,2021/22,Budget Year,Affordable Range,,
GT481,2015/16,Audited Outcome,Indigent HH receiving FBS,,
GT481,2016/17,Audited Outcome,Indigent HH receiving FBS,,
GT481,2017/18,Audited Outcome,Indigent HH receiving FBS,,
GT481,2018/19,Original Budget,Indigent HH receiving FBS,,
GT481,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
GT481,2019/20,Budget Year,Indigent HH receiving FBS,,
GT481,2020/21,Budget Year,Indigent HH receiving FBS,,
GT481,2021/22,Budget Year,Indigent HH receiving FBS,,
GT484,2015/16,Audited Outcome,Middle Income Range,2866.48,
GT484,2016/17,Audited Outcome,Middle Income Range,3061.93,6.82
GT484,2017/18,Audited Outcome,Middle Income Range,3300.32,7.79
GT484,2018/19,Original Budget,Middle Income Range,3574.52,8.31
GT484,2018/19,Adjusted Budget,Middle Income Range,3574.52,
GT484,2019/20,Budget Year,Middle Income Range,3864.57,8.11
GT484,2020/21,Budget Year,Middle Income Range,4096.44,6.0
GT484,2021/22,Budget Year,Middle Income Range,4342.23,6.0
GT484,2015/16,Audited Outcome,Affordable Range,1673.48,
GT484,2016/17,Audited Outcome,Affordable Range,1785.92,6.72
GT484,2017/18,Audited Outcome,Affordable Range,1966.4,10.11
GT484,2018/19,Original Budget,Affordable Range,2131.74,8.41
GT484,2018/19,Adjusted Budget,Affordable Range,2131.74,
GT484,2019/20,Budget Year,Affordable Range,2296.0,7.71
GT484,2020/21,Budget Year,Affordable Range,2433.76,6.0
GT484,2021/22,Budget Year,Affordable Range,2579.78,6.0
GT484,2015/16,Audited Outcome,Indigent HH receiving FBS,1154.0,
GT484,2016/17,Audited Outcome,Indigent HH receiving FBS,1250.43,8.36
GT484,2017/18,Audited Outcome,Indigent HH receiving FBS,1375.83,10.03
GT484,2018/19,Original Budget,Indigent HH receiving FBS,1490.16,8.31
GT484,2018/19,Adjusted Budget,Indigent HH receiving FBS,1490.16,
GT484,2019/20,Budget Year,Indigent HH receiving FBS,1603.97,7.64
GT484,2020/21,Budget Year,Indigent HH receiving FBS,1700.21,6.0
GT484,2021/22,Budget Year,Indigent HH receiving FBS,1802.22,6.0
GT485,2015/16,Audited Outcome,Middle Income Range,,
GT485,2016/17,Audited Outcome,Middle Income Range,1047.66,
GT485,2017/18,Audited Outcome,Middle Income Range,1015.45,-3.07
GT485,2018/19,Original Budget,Middle Income Range,1005.1,-1.02
GT485,2018/19,Adjusted Budget,Middle Income Range,1005.1,
GT485,2019/20,Budget Year,Middle Income Range,1068.02,6.26
GT485,2020/21,Budget Year,Middle Income Range,1135.64,6.33
GT485,2021/22,Budget Year,Middle Income Range,1207.58,6.34
GT485,2015/16,Audited Outcome,Affordable Range,,
GT485,2016/17,Audited Outcome,Affordable Range,3145.26,
GT485,2017/18,Audited Outcome,Affordable Range,3799.62,20.8
GT485,2018/19,Original Budget,Affordable Range,4549.74,19.74
GT485,2018/19,Adjusted Budget,Affordable Range,4550.47,0.02
GT485,2019/20,Budget Year,Affordable Range,4938.18,8.52
GT485,2020/21,Budget Year,Affordable Range,5313.43,7.6
GT485,2021/22,Budget Year,Affordable Range,5717.47,7.6
GT485,2015/16,Audited Outcome,Indigent HH receiving FBS,,
GT485,2016/17,Audited Outcome,Indigent HH receiving FBS,914.28,
GT485,2017/18,Audited Outcome,Indigent HH receiving FBS,918.84,0.5
GT485,2018/19,Original Budget,Indigent HH receiving FBS,1002.06,9.06
GT485,2018/19,Adjusted Budget,Indigent HH receiving FBS,1002.06,
GT485,2019/20,Budget Year,Indigent HH receiving FBS,1077.86,7.56
GT485,2020/21,Budget Year,Indigent HH receiving FBS,1153.52,7.02
GT485,2021/22,Budget Year,Indigent HH receiving FBS,1234.65,7.03
DC48,2015/16,Audited Outcome,Middle Income Range,,
DC48,2016/17,Audited Outcome,Middle Income Range,,
DC48,2017/18,Audited Outcome,Middle Income Range,,
DC48,2018/19,Original Budget,Middle Income Range,,
DC48,2018/19,Adjusted Budget,Middle Income Range,,
DC48,2019/20,Budget Year,Middle Income Range,,
DC48,2020/21,Budget Year,Middle Income Range,,
DC48,2021/22,Budget Year,Middle Income Range,,
DC48,2015/16,Audited Outcome,Affordable Range,,
DC48,2016/17,Audited Outcome,Affordable Range,,
DC48,2017/18,Audited Outcome,Affordable Range,,
DC48,2018/19,Original Budget,Affordable Range,,
DC48,2018/19,Adjusted Budget,Affordable Range,,
DC48,2019/20,Budget Year,Affordable Range,,
DC48,2020/21,Budget Year,Affordable Range,,
DC48,2021/22,Budget Year,Affordable Range,,
DC48,2015/16,Audited Outcome,Indigent HH receiving FBS,,
DC48,2016/17,Audited Outcome,Indigent HH receiving FBS,,
DC48,2017/18,Audited Outcome,Indigent HH receiving FBS,,
DC48,2018/19,Original Budget,Indigent HH receiving FBS,,
DC48,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
DC48,2019/20,Budget Year,Indigent HH receiving FBS,,
DC48,2020/21,Budget Year,Indigent HH receiving FBS,,
DC48,2021/22,Budget Year,Indigent HH receiving FBS,,
